typing_wpm,typing_accuracy,typing_errors,typing_backspaces,typing_error_rate,typing_correction_rate,attention_hits,attention_false_clicks,attention_misses,attention_reaction_time,attention_accuracy,attention_score,attention_impulsivity_rate,attention_miss_rate,reading_speed,reading_comprehension,reading_correct_answers,reading_efficiency,risk_label,dominant_issue
10.51,53.74,13,6,1.3,0.6,9,6,12,1071.04,54.01,19.27,0.375,0.5455,70.99,58.34,3,41.42,high,attention_issue
38.52,83.56,5,4,0.1316,0.1053,20,2,5,500.19,73.51,64.64,0.087,0.1923,144.63,69.45,2,100.45,medium,balanced
22.76,81.45,3,8,0.1364,0.3636,14,3,2,709.51,75.11,71.41,0.1667,0.1176,126.59,64.56,4,81.73,medium,balanced
15.73,61.19,8,6,0.5333,0.4,14,6,10,1197.43,51.46,33.86,0.2857,0.4,99.38,34.42,3,34.21,high,attention_issue
33.52,76.21,6,3,0.1818,0.0909,14,2,3,661.47,62.47,55.26,0.1176,0.1667,140.51,65.93,4,92.64,medium,balanced
20.64,64.49,7,16,0.35,0.8,8,8,11,1083.07,52.57,43.9,0.4706,0.55,79.33,39.18,1,31.08,high,attention_issue
16.9,45.7,13,18,0.8125,1.125,7,10,9,1045.45,34.88,35.4,0.5556,0.5294,72.17,51.28,2,37.01,high,attention_issue
35.88,89.32,0,5,0.0,0.1429,18,1,3,397.2,99.95,88.27,0.05,0.1364,158.88,97.79,4,155.38,low,balanced
23.97,74.63,7,5,0.3043,0.2174,18,2,4,491.45,81.62,57.08,0.0952,0.1739,132.25,63.33,4,83.75,medium,typing_issue
35.21,84.31,8,6,0.2286,0.1714,14,3,2,560.14,80.49,59.17,0.1667,0.1176,149.82,57.44,2,86.05,medium,reading_issue
21.17,84.69,8,6,0.381,0.2857,17,4,3,440.69,74.04,68.09,0.1818,0.1429,110.52,68.55,3,75.76,medium,balanced
36.11,82.29,3,6,0.0833,0.1667,15,3,7,658.57,62.6,65.6,0.1579,0.3043,145.31,72.13,3,104.81,medium,balanced
32.57,73.47,5,5,0.1562,0.1562,16,2,2,725.99,79.97,70.87,0.1053,0.1053,130.24,55.39,3,72.14,medium,reading_issue
28.62,70.76,3,6,0.1071,0.2143,15,2,7,727.57,82.25,48.48,0.1111,0.3043,108.72,59.37,2,64.55,medium,attention_issue
58.13,89.57,3,6,0.0517,0.1034,24,0,1,351.54,97.11,85.5,0.0,0.0385,166.96,87.2,4,145.58,low,balanced
12.17,71.32,9,13,0.75,1.0833,9,9,12,812.42,60.58,47.72,0.4737,0.5455,78.74,39.63,2,31.2,high,attention_issue
38.84,90.75,2,1,0.0526,0.0263,25,0,0,483.95,95.42,79.93,0.0,0.0,197.92,86.53,4,171.26,low,balanced
33.72,74.89,3,8,0.0909,0.2424,12,2,4,729.3,63.49,70.51,0.1333,0.2353,104.46,58.49,3,61.1,medium,reading_issue
20.99,40.38,14,15,0.7,0.75,6,4,12,919.92,49.11,23.97,0.3636,0.6316,101.61,59.09,3,60.04,high,attention_issue
20.75,76.17,3,4,0.15,0.2,16,4,7,475.09,78.42,67.05,0.1905,0.2917,117.21,57.96,2,67.94,medium,reading_issue
54.93,92.31,0,1,0.0,0.0185,20,2,1,446.5,96.47,99.34,0.087,0.0455,197.11,81.45,5,160.55,low,balanced
21.87,56.8,14,15,0.6667,0.7143,5,10,9,1189.21,42.61,27.56,0.625,0.6,89.31,44.88,0,40.08,high,attention_issue
38.94,84.4,5,3,0.1316,0.0789,19,3,3,709.24,62.0,55.78,0.1304,0.1304,103.85,57.47,2,59.68,medium,reading_issue
36.32,81.4,6,3,0.1667,0.0833,14,3,6,499.9,77.1,71.47,0.1667,0.2857,119.28,78.91,3,94.13,medium,balanced
17.12,49.28,9,11,0.5294,0.6471,13,8,11,1191.31,40.53,28.55,0.3636,0.44,102.56,27.32,0,28.02,high,attention_issue
60.98,89.23,2,4,0.0333,0.0667,20,1,3,302.88,85.05,76.23,0.0455,0.125,218.84,98.63,4,215.84,low,balanced
25.86,83.73,7,8,0.28,0.32,13,5,5,687.58,69.06,47.12,0.2632,0.2632,116.28,68.06,2,79.14,medium,attention_issue
14.82,62.11,11,6,0.7857,0.4286,6,10,8,817.65,40.23,18.01,0.5882,0.5333,78.23,30.48,0,23.85,high,attention_issue
25.81,79.8,6,8,0.24,0.32,12,4,7,583.1,60.38,70.78,0.2353,0.35,105.24,75.56,2,79.53,medium,balanced
18.16,44.86,9,18,0.5,1.0,8,4,7,983.67,43.99,29.38,0.3077,0.4375,84.11,46.62,3,39.21,high,attention_issue
57.38,89.58,4,3,0.0702,0.0526,25,1,1,348.21,89.62,81.56,0.037,0.037,189.46,92.08,5,174.46,low,balanced
35.9,92.03,4,4,0.1143,0.1143,19,0,0,325.24,90.19,88.86,0.0,0.0,151.31,97.43,5,147.42,low,balanced
13.53,68.82,13,9,1.0,0.6923,10,5,12,1114.18,45.97,40.59,0.3125,0.5217,99.5,37.92,2,37.73,high,attention_issue
48.07,96.44,1,2,0.0208,0.0417,23,2,1,440.22,87.09,77.13,0.0769,0.04,175.77,81.78,4,143.74,low,balanced
17.79,42.31,13,12,0.7647,0.7059,8,5,6,799.84,38.65,27.41,0.3571,0.4,61.95,39.03,2,24.18,high,attention_issue
22.75,40.63,11,18,0.5,0.8182,12,8,8,1113.56,47.39,42.75,0.381,0.381,88.73,26.7,3,23.69,high,attention_issue
14.16,64.21,15,6,1.0714,0.4286,7,5,7,788.6,38.73,46.35,0.3846,0.4667,95.56,59.44,2,56.8,high,attention_issue
14.06,60.1,10,10,0.7143,0.7143,8,10,9,937.1,56.88,36.32,0.5263,0.5,81.01,37.5,3,30.38,high,attention_issue
21.23,53.37,14,7,0.6667,0.3333,11,7,8,1025.4,49.02,33.04,0.3684,0.4,89.78,56.88,1,51.06,high,attention_issue
21.46,75.86,3,10,0.1429,0.4762,15,1,7,729.15,78.56,58.6,0.0588,0.3043,106.09,56.95,4,60.41,medium,reading_issue
10.08,50.07,7,13,0.7,1.3,5,9,10,1154.73,31.0,28.0,0.6,0.625,85.87,40.25,0,34.56,high,attention_issue
14.14,52.32,7,13,0.5,0.9286,12,10,7,839.22,46.76,22.27,0.4348,0.35,79.02,52.03,2,41.11,high,attention_issue
65.19,93.75,3,5,0.0462,0.0769,19,2,1,406.34,90.86,77.91,0.0909,0.0476,150.06,94.76,4,142.21,low,balanced
29.54,87.43,8,6,0.2759,0.2069,16,4,7,498.11,80.54,65.88,0.1905,0.2917,125.59,55.69,4,69.95,medium,reading_issue
56.39,98.69,3,0,0.0536,0.0,18,0,0,431.65,91.65,91.27,0.0,0.0,147.56,93.64,5,138.17,low,balanced
21.93,76.67,5,10,0.2381,0.4762,19,5,7,719.0,75.45,53.65,0.2,0.2593,109.0,76.8,2,83.71,medium,balanced
13.28,40.28,12,12,0.9231,0.9231,10,8,9,1172.09,34.03,43.99,0.4211,0.45,87.98,35.53,0,31.26,high,attention_issue
39.13,77.87,4,7,0.1026,0.1795,12,2,5,493.88,75.84,52.87,0.1333,0.2778,149.85,77.83,3,116.63,medium,balanced
12.71,56.09,7,18,0.5833,1.5,13,5,9,916.76,50.37,49.86,0.2632,0.3913,102.12,27.03,2,27.61,high,attention_issue
47.04,98.29,2,6,0.0426,0.1277,19,1,1,344.29,99.75,75.32,0.0476,0.0476,141.23,91.75,4,129.57,low,balanced
42.91,94.83,0,6,0.0,0.1429,21,2,0,482.86,94.98,99.16,0.0833,0.0,206.54,97.14,4,200.63,low,balanced
56.86,91.41,4,5,0.0714,0.0893,22,2,0,308.92,89.95,82.8,0.08,0.0,142.37,92.97,5,132.36,low,balanced
47.16,90.02,1,6,0.0213,0.1277,23,2,3,355.15,85.11,98.73,0.0769,0.1111,184.57,93.73,4,173.0,low,balanced
19.51,40.38,9,18,0.4737,0.9474,10,6,10,863.45,47.72,32.42,0.3529,0.4762,98.73,43.69,0,43.14,high,attention_issue
61.7,98.35,0,5,0.0,0.082,19,2,2,471.05,87.88,89.09,0.0909,0.0909,218.73,90.1,4,197.08,low,balanced
30.07,84.08,5,7,0.1667,0.2333,12,5,2,637.03,78.41,46.29,0.2778,0.1333,123.07,78.06,2,96.07,medium,attention_issue
21.1,74.53,5,4,0.2381,0.1905,19,2,2,434.96,61.59,49.46,0.0909,0.0909,126.92,70.84,3,89.91,medium,attention_issue
22.02,78.89,4,7,0.1818,0.3182,17,2,3,662.12,68.12,58.82,0.1,0.1429,134.72,77.35,2,104.2,medium,balanced
38.74,70.05,5,3,0.1316,0.0789,13,3,2,647.59,81.09,60.57,0.1765,0.125,147.54,61.26,2,90.38,medium,typing_issue
14.92,48.79,10,10,0.7143,0.7143,7,10,12,1128.62,43.13,15.89,0.5556,0.6,85.56,54.0,3,46.2,high,attention_issue
15.98,54.22,8,8,0.5333,0.5333,11,5,6,801.68,30.29,16.17,0.2941,0.3333,91.79,42.42,2,38.94,high,attention_issue
42.11,96.8,2,0,0.0476,0.0,18,2,0,360.15,88.51,86.14,0.0952,0.0,215.81,98.13,4,211.78,low,balanced
24.3,48.06,13,14,0.5417,0.5833,14,5,9,1144.94,40.7,46.66,0.25,0.375,95.41,24.66,1,23.53,high,attention_issue
29.8,73.94,5,4,0.1724,0.1379,12,1,3,728.08,72.21,65.25,0.0714,0.1875,100.22,70.84,3,71.0,medium,typing_issue
68.6,95.74,1,5,0.0147,0.0735,18,1,1,372.18,97.5,76.57,0.05,0.05,175.1,85.0,4,148.84,low,balanced
20.79,61.29,15,16,0.75,0.8,6,8,10,1137.08,30.93,21.55,0.5333,0.5882,79.59,33.87,0,26.96,high,attention_issue
11.75,47.48,9,9,0.8182,0.8182,8,7,11,675.13,51.58,15.23,0.4375,0.55,60.0,50.34,2,30.21,high,attention_issue
51.84,91.77,4,5,0.0784,0.098,25,2,2,496.34,95.29,76.76,0.0714,0.0714,174.8,87.42,5,152.81,low,balanced
39.36,96.72,1,1,0.0256,0.0256,18,1,1,270.23,91.63,88.99,0.05,0.05,191.3,80.07,5,153.17,low,balanced
69.29,96.97,2,3,0.029,0.0435,19,0,1,448.77,93.21,94.73,0.0,0.0476,200.85,90.78,5,182.33,low,balanced
61.6,94.17,0,5,0.0,0.082,18,1,1,256.95,93.63,85.33,0.05,0.05,173.83,98.37,4,171.0,low,balanced
68.69,95.59,2,5,0.0294,0.0735,18,2,0,299.75,99.96,87.7,0.0952,0.0,200.78,97.09,4,194.95,low,balanced
8.18,56.26,15,6,1.5,0.6,5,9,7,982.87,56.73,28.96,0.6,0.5385,84.91,55.46,2,47.09,high,attention_issue
58.91,95.79,2,3,0.0345,0.0517,19,0,2,489.52,97.95,85.02,0.0,0.0909,214.09,91.77,4,196.48,low,balanced
24.34,45.21,15,12,0.625,0.5,7,4,6,704.65,49.89,24.25,0.3333,0.4286,64.41,28.48,2,18.34,high,attention_issue
20.45,87.04,8,3,0.4,0.15,19,1,5,737.39,64.82,71.58,0.0476,0.2,126.28,58.28,2,73.59,medium,reading_issue
42.88,94.38,2,4,0.0476,0.0952,24,1,3,322.21,97.46,87.73,0.0385,0.1071,166.3,88.04,5,146.41,low,balanced
21.02,46.88,12,18,0.5714,0.8571,6,4,10,1037.68,49.18,38.5,0.3636,0.5882,66.73,26.67,0,17.8,high,attention_issue
